county,circuit,type,ariFund,mhc
Boone County ,,ARI probation program,1,0
Washinton/Perry Counties,,Drug Court,1,0
Christian County,4th Judicial Circuit,Drug Court,1,0
Clinton County,4th Judicial Circuit,Drug Court,1,0
Effingham County,4th Judicial Circuit,Drug Court,1,0
Adams County ,,Drug Court,1,0
Boone County ,,Drug Court,1,0
Grundy County,,Drug Court,1,0
Jersey County,,Drug Court,1,0
Kendall County,,Drug Court,1,0
LaSalle County,,Drug Court,1,0
Lake County,,Drug Court,1,0
Madison County,,Drug Court,1,0
Peoria County ,,Drug Court,1,0
Sangamon County,,Drug Court,1,0
Will County,,Drug Court,1,0
Fayette County,4th Judicial Circuit,Drug Court ,1,0
Knox County,9th Judicial Circuit,Drug Court ,1,0
Fulton County,9th Judicial Circuit,Drug Court ,1,0
McDonough County,9th Judicial Circuit,Drug Court ,1,0
Hancock County,9th Judicial Circuit,Drug Court ,1,0
Warren and Henderson Counties,9th Judicial Circuit,Drug Court ,1,0
Cook County,,Drug Court ,1,0
DeKalb County,,Drug/DUI Court,1,0
Lake County,,DUI Diversion Program,1,0
Effingham County,4th Judicial Circuit,Integrated Systems of Care program,1,0
St. Clair County,20th Judicial Circuit,Intensive supervision probation,1,0
DuPage County,,Intensive supervision probation,1,0
LaSalle County,,Intensive supervision probation,1,0
Macon County,,Intensive supervision probation,1,0
McLean County,,Intensive supervision probation,1,0
Peoria County ,,Intensive supervision probation,1,0
Montgomery County,,Lifting the Emerging Adult Population (LEAP) program,1,0
St. Clair County Mental Health Court,,Mental Health Court,1,1
Christian County,4th Judicial Circuit,Mental Health Court,1,1
Effingham County,4th Judicial Circuit,Mental Health Court,1,1
Adams County ,,Mental Health Court,1,1
DeKalb County,,Mental Health Court,1,1
Grundy County,,Mental Health Court,1,1
Kendall County,,Mental Health Court,1,1
LaSalle County,,Mental Health Court,1,1
Lake County,,Mental Health Court,1,1
Madison County,,Mental Health Court,1,1
Montgomery County,,Mental Health Court,1,1
Peoria County ,,Mental Health Court,1,1
Sangamon County,,Mental Health Court,1,1
Will County,,Mental Health Court,1,1
Monroe County,,Mental health treatment,1,0
Cook County,,Menthal Health Court,1,1
Adams County ,,Pretrial services,1,0
Adams County ,,"Reinforcing Behaviors, Individualized Case Plans, Skill Building and Engagement (RISE) program",1,0
Cook County,,RRP ,1,0
2nd Judicial Circuit,,Substance Abuse and Mental Health Treatment,1,0
Christian County,4th Judicial Circuit,Veterans Court,1,1
Effingham County,4th Judicial Circuit,Veterans Court,1,1
Kendall County,,Veterans Court,1,1
Lake County,,Veterans Court,1,1
Madison County,,Veterans Court,1,1
Peoria County ,,Veterans Court,1,1
Sangamon County,,Veterans Court,1,1
Will County,,Veterans Court,1,1
Grundy County,,Veterans treatment program,1,1
Vermilion County,,Mental Health Court,0,1
Macon County,,Mental Health Court,0,1
Tazewell County,,Mental Health Court,0,1
Rock Island,,Mental Health Court,0,1
Kankakee,,Mental Health Court,0,1
22nd Judicial Circuit,,Mental Health Court,0,1
DuPage County,,Mental Illiness Court Alternative Program,0,1
McLean County,,Recovery Court,0,0
Kane County,,Treatment Alternative Court,0,1
