year,ariCost,idocCost,savings
2013,"$1,252.01 ","$20,927.00 ","$11,693,825.00 "
2014,"$3,699.28 ","$22,191.00 ","$16,911,900.00 "
2015,"$3,870.98 ","$23,385.00 ","$21,605,850.00 "
2016,"$4,468.85 ","$21,930.00 ","$24,376,000.00 "
2017,"$3,551.72 ","$26,365.00 ","$23,854,500.00 "
2018,"$3,901.71 ","$27,930.00 ","$22,713,375.00 "
2019,"$3,834.40 ","$30,419.00 ","$32,860,000.00 "
2020,"$4,039.10 ","$34,229.00 ","$24,000,000.00 "
2021,"$4,284.13 ","$43,711.00 ","$36,378,800.00 "
2022,"$3,902.76 ","$45,800.00 ","$51,697,275.00 "
2023,"$4,056.77 ","$46,374.00 ","$54,000,000.00 "
2024,"$4,336.41 ","$48,810.00 ","$74,934,900.00 "
2025,"$4,277.87 ","$52,810.00 ","$82,829,925.00 "
