NAME,hasFlag,hasWord,mentalHealthDisorder,samshaRegion,pop2020,pop2020_withMentalIllness,income,,
Champaign,0,doesn't have,20.3,3a,205865,41791,"97,100",,
Williamson,0,doesn't have,17.6,5b,67153,11819,"85,336",,
Woodford,0,doesn't have,18.6,3b,38467,7155,"109,137",,
Clark,0,doesn't have,18,4b,15455,2782,"84,951",,
Clay,0,doesn't have,17.6,5b,13288,2339,"74,401",,
Clinton,0,doesn't have,17.6,5b,36899,6494,"102,033",,
Coles,0,doesn't have,18,4b,46863,8435,"73,684",,
Crawford,0,doesn't have,17.6,5b,18679,3288,"86,023",,
Cumberland,0,doesn't have,18,4b,10450,1881,"93,996",,
De Witt,0,doesn't have,18,4b,15516,2793,"89,912",,
Alexander,0,doesn't have,17.6,5b,5240,922,"60,875",,
Douglas,0,doesn't have,18,4b,19740,3553,"87,355",,
Edgar,0,doesn't have,18,4b,16866,3036,"74,364",,
Edwards,0,doesn't have,17.6,5b,6245,1099,"73,895",,
Fayette,0,doesn't have,17.6,5b,21488,3782,"72,652",,
Ford,0,doesn't have,18.6,3b,13534,2517,"85,122",,
Franklin,0,doesn't have,17.6,5b,37804,6654,"67,459",,
Fulton,0,doesn't have,18.6,3b,33609,6251,"74,828",,
Bond,0,doesn't have,17.6,5b,16725,2944,"86,638",,
Gallatin,0,doesn't have,17.6,5b,4946,870,"72,386",,
Greene,0,doesn't have,18,4b,11985,2157,"74,519",,
Hamilton,0,doesn't have,17.6,5b,7993,1407,"75,333",,
Hancock,0,doesn't have,18,4b,17620,3172,"85,081",,
Hardin,0,doesn't have,17.6,5b,3649,642,"68,008",,
Henderson,0,doesn't have,18.6,3b,6387,1188,"76,563",,
Henry,0,doesn't have,18.6,3b,49284,9167,"89,207",,
Iroquois,0,doesn't have,18.6,3b,27077,5036,"81,973",,
Jackson,0,doesn't have,17.6,5b,52974,9323,"77,348",,
Boone,0,doesn't have,17.9,2d,53448,9567,"99,747",,
Jasper ,0,doesn't have,17.6,5b,9287,1635,"92,214",,
Jefferson,0,doesn't have,17.6,5b,37113,6532,"74,499",,
Jersey,0,doesn't have,18,4b,21512,3872,"97,557",,
Jo Daviess,0,doesn't have,17.9,2d,22035,3944,"93,609",,
Johnson,0,doesn't have,17.6,5b,13308,2342,"77,213",,
Knox,0,doesn't have,18.6,3b,49967,9294,"79,128",,
Brown,0,doesn't have,18.2,4b,6244,1136,"85,645",,
Lawrence,0,doesn't have,18.1,5b,15280,2766,"74,741",,
Lee,0,doesn't have,17.9,2d,34145,6112,"85,122",,
Livingston,0,doesn't have,18.6,3b,35815,6662,"89,586",,
Logan,0,doesn't have,18,4b,27987,5038,"82,344",,
Macoupin,0,doesn't have,18,4b,44967,8094,"84,339",,
Marion,0,doesn't have,17.6,5b,37729,6640,"77,817",,
Marshall,0,doesn't have,18.6,3b,11742,2184,"88,156",,
Bureau,0,doesn't have,18.6,3b,33244,6183,"82,471",,
Mason,0,doesn't have,18.6,3b,13086,2434,"80,426",,
Massac,0,doesn't have,17.6,5b,14169,2494,"76,848",,
McDonough,0,doesn't have,18.6,3b,27238,5066,"74,951",,
Menard,0,doesn't have,18,4b,12297,2213,"96,413",,
Mercer,0,doesn't have,18.6,3b,15699,2920,"92,255",,
Monroe,0,doesn't have,17.6,5b,34962,6153,"128,922",,
Morgan,0,doesn't have,18,4b,32915,5925,"89,250",,
Calhoun,0,doesn't have,18,4b,4437,799,"107,903",,
Moultrie,0,doesn't have,18,4b,14526,2615,"91,635",,
Ogle,0,doesn't have,17.9,2d,51788,9270,"94,155",,
Perry,0,doesn't have,17.6,5b,20945,3686,"75,049",,
Piatt,0,doesn't have,18,4b,16673,3001,"98,731",,
Pike,0,doesn't have,18,4b,14739,2653,"80,158",,
Pope,0,doesn't have,17.6,5b,3763,662,"88,393",,
Pulaski,0,doesn't have,17.6,5b,5193,914,"60,905",,
Putnam,0,doesn't have,18.6,3b,5637,1048,"93,265",,
Randolph,0,doesn't have,17.6,5b,30163,5309,"89,319",,
Carroll,0,doesn't have,17.9,2d,15702,2811,"77,768",,
Richland,0,doesn't have,17.6,5b,15813,2783,"78,589",,
Saline,0,doesn't have,17.6,5b,23768,4183,"72,510",,
Schuyler,0,doesn't have,18,4b,6902,1242,"85,464",,
Scott,0,doesn't have,18,4b,4949,891,"92,169",,
Shelby,0,doesn't have,18,4b,20990,3778,"84,015",,
Stark,0,doesn't have,18.6,3b,5400,1004,"81,042",,
Stephenson,0,doesn't have,17.9,2d,44630,7989,"79,462",,
Cass,0,doesn't have,18,4b,13042,2348,"76,426",,
Union,0,doesn't have,17.6,5b,17244,3035,"83,539",,
Wabash,0,doesn't have,17.6,5b,11361,2000,"83,731",,
Warren,0,doesn't have,18.6,3b,16835,3131,"82,684",,
Washington,0,doesn't have,17.6,5b,13761,2422,"94,529",,
